State,Cases,Deaths
Acadia,3055,99
Allen,1782,52
Ascension,3885,98
Assumption,780,24
Avoyelles,1652,62
Beauregard,1041,39
Bienville,555,33
Bossier,3761,111
Caddo,9478,381
Calcasieu,8106,221
Caldwell,328,3
Cameron,236,2
Catahoula,453,12
Claiborne,583,23
Concordia,557,15
De Soto,975,35
East Baton Rouge,15540,452
East Carroll,558,6
East Feliciana,1780,75
Evangeline,1377,37
Franklin,1261,44
Grant,514,30
Iberia,3027,93
Iberville,1431,58
Jackson,780,22
Jefferson,18182,578
Jefferson Davis,1306,42
LaSalle,466,10
Lafayette,9212,136
Lafourche,3807,123
Lincoln,1582,48
Livingston,3990,77
Madison,891,8
Morehouse,860,23
Natchitoches,1325,26
Orleans,13106,589
Ouachita,6691,153
Plaquemines,817,19
Pointe Coupee,1095,40
Rapides,4474,152
Red River,381,24
Richland,833,15
Sabine,937,14
St. Bernard,1501,32
St. Charles,1893,63
St. Helena,425,4
St. James,826,40
St. John the Baptist,1615,105
St. Landry,3503,131
St. Martin,2142,61
St. Mary,1985,83
St. Tammany,7456,269
Tangipahoa,4813,122
Tensas,185,2
Terrebonne,3769,121
Union,1053,49
Vermilion,2086,68
Vernon,1106,55
Washington,1710,68
Webster,1406,34
West Baton Rouge,941,42
West Carroll,360,10
West Feliciana,742,25
Winn,658,19
